"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000032410",722.718365251371,0.71809561361256,0.0787293424796471,9.12106707608031,7.43882373210517e-20,1.2222731274222e-15
"ENSMUSG00000048572",4066.12217617563,-1.89536882664107,0.216173220547137,-8.76782434865832,1.82151703850643e-18,1.49646732298496e-14
"ENSMUSG00000033004",1947.35112247521,0.721359587274498,0.0829820010850455,8.69296447232214,3.53102817250523e-18,1.93394413008112e-14
"ENSMUSG00000038695",668.923003254258,-0.749165385712074,0.0889894974688848,-8.41858204642655,3.81068253772801e-17,1.56533311943522e-13
"ENSMUSG00000078901",15.7812264107798,33.0991932408781,4.24978119083159,7.78844645279284,6.7838110051282e-15,1.85774664375436e-11
"ENSMUSG00000033624",1551.61042062083,0.6538890086348,0.0838254748715057,7.80060011156672,6.16134660352175e-15,1.85774664375436e-11
"ENSMUSG00000041660",76.9688552792651,2.96182345211039,0.401180948412314,7.38276197768587,1.55039057615054e-13,3.63920965096137e-10
"ENSMUSG00000089714",53.0647124973967,8.64983261287906,1.2176143236883,7.10391824783867,1.21268607898713e-12,2.49070562047969e-09
"ENSMUSG00000035284",762.488869085133,0.667406842289778,0.0949207412384414,7.03120133262812,2.04762782953116e-12,3.73828587411405e-09
"ENSMUSG00000043091",1522.01426554092,-0.485339669209403,0.0714643501010303,-6.79135357032241,1.11086299552939e-11,1.82525898795433e-08
"ENSMUSG00000021765",247.554718786979,1.55325350168227,0.231201729895395,6.71817422120946,1.84015603161428e-11,2.74869125049585e-08
"ENSMUSG00000043760",5204.29808985706,0.593609229914858,0.092820384907944,6.39524637291236,1.60288694225414e-10,2.19475294568148e-07
"ENSMUSG00000029616",2388.31029463963,-0.448351713145901,0.0705562342632056,-6.35453008267636,2.09064732194315e-10,2.64241739591138e-07
"ENSMUSG00000030357",5727.4461374698,-0.509091239488994,0.0818563685965911,-6.21932353239275,4.99302819485294e-10,5.86003187640204e-07
"ENSMUSG00000080950",172.541689504302,-1.09102769839695,0.176369773186399,-6.18602427550828,6.17005102740693e-10,6.75867389542155e-07
"ENSMUSG00000115338",3094.76262324405,-0.411606980235701,0.0668651657634951,-6.15577596399854,7.4710776578209e-10,7.67232981222845e-07
"ENSMUSG00000028862",147.909318153798,-1.2829253525874,0.209339652229743,-6.12843930388992,8.87452709749249e-10,8.57749145522936e-07
"ENSMUSG00000112237",24.8123336992782,-7.23586881150949,1.22500677849894,-5.90679899777857,3.48818915888522e-09,3.18413533720239e-06
"ENSMUSG00000028773",1248.02041478327,0.742996627926919,0.127448216785871,5.8297922612385,5.54964196930036e-09,4.55930835987871e-06
"ENSMUSG00000058006",768.798944186767,0.601979167138956,0.103154723051376,5.83569175828376,5.35678481260644e-09,4.55930835987871e-06
"ENSMUSG00000068130",54.1679436708019,1.49795748144131,0.257622026832819,5.81455514443799,6.07953424746768e-09,4.75680129619721e-06
"ENSMUSG00000038664",1671.02766121457,0.509190560578613,0.087879292021995,5.79420417327861,6.86459065167477e-09,5.12691313625765e-06
"ENSMUSG00000030180",1109.51067662664,0.528565007848489,0.0915668246851132,5.7724509904778,7.81266720886251e-09,5.49243610883898e-06
"ENSMUSG00000037486",870.128181610677,0.651654859573529,0.112977926241092,5.76798389964174,8.02254680860176e-09,5.49243610883898e-06
"ENSMUSG00000023120",1699.03610532933,-0.736291007807125,0.128038043696026,-5.75056433660569,8.89460475689271e-09,5.75671567062364e-06
"ENSMUSG00000036752",3498.4800427171,-0.463334740170952,0.0806285952762996,-5.7465312223683,9.109281689259e-09,5.75671567062364e-06
"ENSMUSG00000074934",48.5170230263301,5.62693856045958,0.981511384702174,5.73293254480893,9.87088978228932e-09,6.00698481528873e-06
"ENSMUSG00000098747",223.441153607782,-1.01653191459715,0.177637165202112,-5.72251822100719,1.04956583774878e-08,6.15907724287507e-06
"ENSMUSG00000018800",677.257415380653,0.559529810874959,0.0988669464717463,5.65942239386202,1.51883311747201e-08,8.6054989493733e-06
"ENSMUSG00000030161",17138.0451143152,1.76723244937161,0.312774521756787,5.65018032621534,1.60279610320309e-08,8.77851425724334e-06
"ENSMUSG00000023944",31980.0506106671,-0.720317343064676,0.128162260219557,-5.62035455547281,1.90565963870488e-08,9.48845258289695e-06
"ENSMUSG00000107092",1216.76019103647,-1.24538503528748,0.221410874411499,-5.6247690570649,1.85756317983617e-08,9.48845258289695e-06
"ENSMUSG00000067736",38965.2113192581,0.298713426071819,0.0531097764090924,5.62445271414624,1.86097019722896e-08,9.48845258289695e-06
"ENSMUSG00000021037",1980.17994575831,-0.623205055248333,0.1110650817681,-5.61117000345402,2.00963216301127e-08,9.71184296189356e-06
"ENSMUSG00000065947",39454.2330409707,0.296858906518059,0.0530146331458583,5.59956542000991,2.14889828194212e-08,1.00881564773117e-05
"ENSMUSG00000040407",1811.65704147707,0.459976464747725,0.0839310339964184,5.48040984181552,4.24341711095103e-08,1.93676629305656e-05
"ENSMUSG00000018906",665.109812112731,-0.590324735744964,0.108105880774138,-5.46061630984082,4.74484514877348e-08,2.10709596322965e-05
"ENSMUSG00000078899",51.5942405591534,-22.8408346593479,4.24817485631546,-5.37662300443967,7.58958554825797e-08,3.28169684587965e-05
"ENSMUSG00000022016",1931.81788667285,0.514308504895998,0.0959551164654242,5.3598862034764,8.32743901433159e-08,3.50841411396109e-05
"ENSMUSG00000027288",6385.41347114073,0.341048361659744,0.064126613690895,5.31835913406679,1.04707239016387e-07,4.15438724999139e-05
